#Index,Failure?,Warnings?,Exit code,#rank,#seq,IONIZATIO,HDEN=%f L,grid parameter string
0,F,F,                  ok,10,1,-0.5,1,"-0.500000, 1.000000"
1,F,F,                  ok,18,0,-0.5,1.5,"-0.500000, 1.500000"
2,F,F,                  ok,0,0,-0.5,2,"-0.500000, 2.000000"
3,F,F,                  ok,8,1,-0.5,2.5,"-0.500000, 2.500000"
4,F,F,                  ok,22,1,-0.5,3,"-0.500000, 3.000000"
5,F,F,                  ok,9,1,-0.5,3.5,"-0.500000, 3.500000"
6,F,F,                  ok,15,0,-0.5,4,"-0.500000, 4.000000"
7,F,F,                  ok,22,0,-1,1,"-1.000000, 1.000000"
8,F,F,                  ok,5,0,-1,1.5,"-1.000000, 1.500000"
9,F,F,                  ok,8,0,-1,2,"-1.000000, 2.000000"
10,F,F,                  ok,21,1,-1,2.5,"-1.000000, 2.500000"
11,F,F,                  ok,14,0,-1,3,"-1.000000, 3.000000"
12,F,F,                  ok,17,1,-1,3.5,"-1.000000, 3.500000"
13,F,F,                  ok,19,0,-1,4,"-1.000000, 4.000000"
14,F,F,                  ok,12,0,-1.5,1,"-1.500000, 1.000000"
15,F,F,                  ok,3,0,-1.5,1.5,"-1.500000, 1.500000"
16,F,F,                  ok,16,1,-1.5,2,"-1.500000, 2.000000"
17,F,F,                  ok,23,1,-1.5,2.5,"-1.500000, 2.500000"
18,F,F,                  ok,15,1,-1.5,3,"-1.500000, 3.000000"
19,F,F,                  ok,10,0,-1.5,3.5,"-1.500000, 3.500000"
20,F,F,                  ok,4,1,-1.5,4,"-1.500000, 4.000000"
21,F,F,                  ok,3,1,-2,1,"-2.000000, 1.000000"
22,F,F,                  ok,9,0,-2,1.5,"-2.000000, 1.500000"
23,F,F,                  ok,2,1,-2,2,"-2.000000, 2.000000"
24,F,F,                  ok,13,1,-2,2.5,"-2.000000, 2.500000"
25,F,F,                  ok,1,0,-2,3,"-2.000000, 3.000000"
26,F,F,                  ok,7,1,-2,3.5,"-2.000000, 3.500000"
27,F,F,                  ok,11,0,-2,4,"-2.000000, 4.000000"
28,F,F,                  ok,20,1,-2.5,1,"-2.500000, 1.000000"
29,F,F,                  ok,17,0,-2.5,1.5,"-2.500000, 1.500000"
30,F,F,                  ok,1,1,-2.5,2,"-2.500000, 2.000000"
31,F,F,                  ok,14,1,-2.5,2.5,"-2.500000, 2.500000"
32,F,F,                  ok,0,1,-2.5,3,"-2.500000, 3.000000"
33,F,F,                  ok,2,0,-2.5,3.5,"-2.500000, 3.500000"
34,F,F,                  ok,18,1,-2.5,4,"-2.500000, 4.000000"
35,F,F,                  ok,6,0,-3,1,"-3.000000, 1.000000"
36,F,F,                  ok,23,0,-3,1.5,"-3.000000, 1.500000"
37,F,F,                  ok,6,1,-3,2,"-3.000000, 2.000000"
38,F,F,                  ok,5,1,-3,2.5,"-3.000000, 2.500000"
39,F,F,                  ok,4,0,-3,3,"-3.000000, 3.000000"
40,F,F,                  ok,12,1,-3,3.5,"-3.000000, 3.500000"
41,F,F,                  ok,20,0,-3,4,"-3.000000, 4.000000"
42,F,F,                  ok,13,0,-3.5,1,"-3.500000, 1.000000"
43,F,F,                  ok,7,0,-3.5,1.5,"-3.500000, 1.500000"
44,F,F,                  ok,0,2,-3.5,2,"-3.500000, 2.000000"
45,F,F,                  ok,21,0,-3.5,2.5,"-3.500000, 2.500000"
46,F,F,                  ok,19,1,-3.5,3,"-3.500000, 3.000000"
47,F,F,                  ok,11,1,-3.5,3.5,"-3.500000, 3.500000"
48,F,F,                  ok,16,0,-3.5,4,"-3.500000, 4.000000"
