#Table1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate,fiberid,mjd,z,Flux_HeII_3203,Flux_NeV_3345,Flux_NeV_3425,Flux_OII_3726,Flux_OII_3728,Flux_NeIII_3868,Flux_NeIII_3967,Flux_He_3970,Flux_Hd_4101,Flux_Hg_4340,Flux_OIII_4363,Flux_HeII_4685,Flux_ArIV_4711,Flux_ArIV_4740,Flux_Hb_4861,Flux_OIII_4958,Flux_OIII_5006,Flux_NI_5197,Flux_NI_5200,Flux_HeI_5875,Flux_OI_6300,Flux_OI_6363,Flux_NII_6547,Flux_Ha_6562,Flux_NII_6583,Flux_SII_6716,Flux_SII_6730,Flux_HeII_3203_Err,Flux_NeV_3345_Err,Flux_NeV_3425_Err,Flux_OII_3726_Err,Flux_OII_3728_Err,Flux_NeIII_3868_Err,Flux_NeIII_3967_Err,Flux_He_3970_Err,Flux_Hd_4101_Err,Flux_Hg_4340_Err,Flux_OIII_4363_Err,Flux_HeII_4685_Err,Flux_ArIV_4711_Err,Flux_ArIV_4740_Err,Flux_Hb_4861_Err,Flux_OIII_4958_Err,Flux_OIII_5006_Err,Flux_NI_5197_Err,Flux_NI_5200_Err,Flux_HeI_5875_Err,Flux_OI_6300_Err,Flux_OI_6363_Err,Flux_NII_6547_Err,Flux_Ha_6562_Err,Flux_NII_6583_Err,Flux_SII_6716_Err,Flux_SII_6730_Err
337,425,51997,0.08146244,0,0,0,558.3937,843.8554,227.5859,91.67862,91.22488,174.3813,300.1065,71.11954,95.05153,14.92902,0,558.7911,573.092,1637.406,1.274296,0,0,76.74935,26.95714,237.2409,1732.41,697.7672,255.6055,185.6897,0,0,0,105.6089,106.9812,21.81412,64.35583,62.62735,18.36916,24.71256,16.38975,15.05265,9.002415,0,34.70943,30.09906,85.99731,36.97073,0,0,7.499161,5.208239,11.14139,69.72945,32.7688,12.80118,12.89662
1774,638,53759,0.0407679,0,0,0,803.585,842.0818,122.6955,80.54431,58.00001,151.9822,281.9203,14.77482,6.96813,12.55343,0,605.5475,543.2524,1552.15,10.88711,1.639819,63.84537,39.12954,18.5627,70.98161,1843.189,208.7694,249.5982,178.5276,0,0,0,29.15311,26.4815,8.047142,50.66945,32.7164,6.122389,6.992085,3.523411,5.08321,14.79903,0,8.242136,5.303453,15.15272,4.275504,6.658091,3.774353,3.0621,3.162332,1.46895,20.84078,4.320441,5.34635,5.065438
1993,564,53762,0.05999658,0,0,0,554.5565,846.6029,236.4253,83.45457,104.1919,168.5795,298.6252,19.2433,6.341833,0,0,652.6895,1027.628,2936.081,0,7.048511,81.42508,36.39217,12.19099,35.04689,2038.298,103.0791,164.8986,124.964,0,0,0,23.71231,26.67521,9.281309,10.73682,12.20531,6.335064,8.144905,4.007801,4.146749,0,0,10.14172,8.934217,25.52634,0,4.414663,4.343329,3.433912,2.989579,1.212721,20.58212,3.566825,4.715087,3.894996
2136,396,53494,0.08133724,0,0,0,1316.827,552.1185,418.5538,211.7737,2.42954,121.916,204.488,52.93726,77.87626,26.61005,15.64962,498.7727,1478.153,4223.294,0,11.59146,542.4139,290.2823,97.872,253.946,1815.561,746.9,462.6876,456.1959,0,0,0,320.9841,340.8474,35.40358,99.66779,1445.478,17.60395,19.82038,13.41421,16.11974,14.54699,15.51583,25.33627,55.13965,157.5419,0,13.59794,192050,12.91423,11.18596,8.122336,55.74462,23.88922,20.86398,25.87991
2440,635,53818,0.2145783,1115.167,52.68034,2034.037,569.8098,633.2267,224.3548,153.5109,0,136.7841,271.4729,20.01044,7.478364,0,0,622.08,986.2419,2817.834,0,0,86.16584,43.31287,20.72798,64.22579,2028.882,188.8994,151.156,115.8239,159.6116,31.62501,0,102.6924,97.35899,6.999373,6.981367,0,5.459502,5.932139,3.381039,9.046354,0,0,8.86795,6.073415,17.35262,0,0,3.630734,3.537468,4.884922,2.151461,24.4831,6.327827,5.848212,5.247589
5047,35,55833,0.4585045,2.562407,1.213396,1.367698,34.22364,40.53292,10.658,2.58373,3.366381,1.613595,3.393725,0,0,0,0,8.661352,21.17708,60.50595,0,5.606526,0.513313,10.3816,4.312589,14.93385,39.64562,43.92309,12.79601,9.839631,2.676435,3.059357,3.593307,4.027407,4.970903,2.490305,3.622329,4.868196,4.041294,3.164866,0,0,0,0,2.330789,1.987183,5.677665,11.99514,16.9529,7.663813,2.321904,2.081537,1.631544,6.638983,4.798658,8.380608,5.783099
1847,496,54176,0.08543415,0,0,0,1334.73,0,218.0797,183.191,0,186.6033,339.8748,23.02946,6.959895,0,0,741.2953,1089.357,3112.449,7.925774,0,101.8568,27.71363,16.53533,51.83195,2343.399,152.4469,145.1072,111.2542,0,0,0,18.83159,0,7.682939,7.698979,0,5.524324,7.154061,3.792322,5.725565,0,0,12.4031,8.985119,25.67177,6.63301,0,4.198189,2.495128,4.973528,1.278519,21.81087,3.760351,4.230929,4.22923
664,112,52174,0.1355326,0,2.18E+10,2262.218,313.757,826.4667,204.147,102.9906,50.73932,134.872,227.0189,20.88173,5.605092,0,0,488.1695,776.8234,2219.495,0,2.558909,53.16097,27.6158,19.76144,23.19976,1446.847,68.2346,124.0879,96.92025,0,4770644,0,36.8121,39.27248,8.119912,253.1,226.9873,5.765018,6.271737,4.504536,36.99957,0,0,8.297606,6.320827,18.05951,0,8.87304,3.025175,2.557732,6.541007,1.414331,14.245,4.159798,6.480871,5.643001
917,551,52400,0.2773613,15.91367,10.7932,0,252.4843,92.18854,20.64575,12.17389,6.911666,11.72672,52.28757,0,0,0,0,98.66404,53.88211,153.9489,6.361479,11.10921,11.58788,48.72326,69.28691,147.234,550.1719,433.0411,119.2832,97.88483,15.9921,14.79694,0,207.4068,94.46016,11.8578,30.20984,40.87627,6.325332,7.940672,0,0,0,0,9.672526,3.281065,9.37447,56.0154,33.31304,5.746349,8.127669,34.10458,7.119344,24.19733,20.93925,14.09943,15.62502
6129,839,56301,0.4410853,0,0,0,54.63531,43.98489,0,3.164589,11.85828,82.49396,8.567613,94.47813,2.209015,0,0,19.92302,20.74281,59.26517,0,0,2.95277,21.23488,13.19289,16.29685,62.63759,47.93192,24.67577,8.351295,0,0,0,21.01295,24.35851,0,7.472301,10.33106,35.12592,2.975623,18459.26,3.645591,0,0,3.196083,1.886716,5.390617,0,0,7.978563,3.209076,3.388988,2.184847,7.77544,6.426021,5.399814,4.612965
